Content Type,Document Name,Document Title,Primary Category,English,Spanish
Video,50 Things You Might See in the Hospital,50 Things You Might See in the Hospital,Pediatrics,1,1
Video,A is for Asthma,HealthNuts: A is for Asthma,Pediatrics,1,1
Video,Ambulatory,Ambulatory,Pediatrics,1,1
Video,Ambulatory Blood Pressure Monitor,Ambulatory Blood Pressure Monitor,Pediatrics,1,1
Video,Ambulatory Blood Pressure Monitor (ABPM),Ambulatory Blood Pressure Monitor (ABPM),Pediatrics,1,1
Video,Anesthesia,HealthNuts: What's That Mean: Anesthesia,Pediatrics,1,1
Video,Appendicitis,HealthNuts: What's That Mean: Appendicitis,Pediatrics,1,1
Video,Appendix,HealthNuts: What's That Mean: Appendix,Pediatrics,1,1
Video,Arteries,HealthNuts: What's That Mean: Arteries,Pediatrics,1,1
Video,Aspirate,HealthNuts: What's That Mean: Aspirate,Pediatrics,1,1
Video,Asthma,Asthma,Pediatrics,1,1
Video,"Asthma Attack or ""Flare""",HealthNuts: What's That Mean: Asthma Attack or Flare,Pediatrics,1,1
Video,B is for Bronchitis,HealthNuts: B is for Bronchitis,Pediatrics,1,1
Video,Baseline,HealthNuts: What's That Mean: Baseline,Pediatrics,1,1
Video,Bedpan,Bedpan,Pediatrics,1,1
Video,BiPAP Mask/CPAP Mask,BiPAP Mask/CPAP Mask,Pediatrics,1,1
Video,Blood Clots,Blood Clots,Pediatrics,1,1
Video,Blood Draws,HealthNuts: Blood Draws,Pediatrics,1,1
Video,Blood Glucose Monitoring,HealthNuts: Blood Glucose Monitoring,Pediatrics,1,1
Video,Blood Pressure,HealthNuts: What's That Mean: Blood Pressure,Pediatrics,1,1
Video,Blood Pressure Cuff,Blood Pressure Cuff,Pediatrics,1,1
Video,Blood Pressure Monitor,Blood Pressure Monitor,Pediatrics,1,1
Video,Bone Marrow,HealthNuts: What's That Mean: Bone Marrow,Pediatrics,1,1
Video,Bone Marrow Biopsies,HealthNuts: Bone Marrow Biopsies,Pediatrics,1,1
Video,Bone Marrow Biopsy,HealthNuts: What's That Mean: Bone Marrow Biopsy,Pediatrics,1,1
Video,Brain,HealthNuts: What's That Mean: Brain,Pediatrics,1,1
Video,Brain Waves,HealthNuts: What's That Mean: Brain Waves,Pediatrics,1,1
Video,Bronchioles,Bronchioles,Pediatrics,1,1
Video,Bronchiolitis,Bronchiolitis,Pediatrics,1,1
Video,Bronchiolitis,Bronchiolitis,Pediatrics,1,1
Video,Bronchiolitis: When to Seek Medical Care,Bronchiolitis: When to Seek Medical Care,Pediatrics,1,1
Video,Bronchoscope,Bronchoscope,Pediatrics,1,1
Video,Butterfly Needle,Butterfly Needle,Pediatrics,1,1
Video,Butterfly Needle,HealthNuts: What's That Mean: Butterfly Needle,Pediatrics,1,1
Video,C is for Cancer,HealthNuts: C is for Cancer,Pediatrics,1,1
Video,"Caps, Masks, Gowns & Gloves","Caps, Masks, Gowns & Gloves",Pediatrics,1,1
Video,Catheter,Catheter,Pediatrics,1,1
Video,Cells,HealthNuts: What's That Mean: Cells,Pediatrics,1,1
Video,Central Line,Central Line,Pediatrics,1,1
Video,Central Line,HealthNuts: What's That Mean: Central Line,Pediatrics,1,1
Video,Chest Physical Therapy,HealthNuts: Chest Physical Therapy,Pediatrics,1,1
Video,Chest Physical Therapy (CPT),HealthNuts: What's That Mean: Chest Physical Therapy (CPT),Pediatrics,1,1
Video,Chest Tube,Chest Tube,Pediatrics,1,1
Video,Chest Tube,HealthNuts: What's That Mean: Chest Tube,Pediatrics,1,1
Video,Chest Tube Drainage System,HealthNuts: What's That Mean: Chest Tube Drainage System,Pediatrics,1,1
Video,Chest Tube Drainage System,Chest Tube Drainage System,Pediatrics,1,1
Video,Chest Tubes,HealthNuts: Chest Tubes,Pediatrics,1,1
Video,Chronic Disease,Chronic Disease,Pediatrics,1,1
Video,Circulatory System,HealthNuts: What's That Mean: Circulatory System,Pediatrics,1,1
Video,Cleaning Asthma Spacers,Cleaning Asthma Spacers,Pediatrics,1,1
Video,Coagulate,Coagulate,Pediatrics,1,1
Video,Comfort Measures (for Pain),Comfort Measures (for Pain),Pediatrics,1,1
Video,"Comminuted Fracture, Crush Fracture",HealthNuts: What's That Mean: Comminuted and Crush Fractures,Pediatrics,1,1
Video,Complete Fracture,HealthNuts: What's That Mean: Complete Fracture,Pediatrics,1,1
Video,Compound (Open) Fracture,HealthNuts: What's That Mean: Compound (Open) and Closed Fractures,Pediatrics,1,1
Video,Consent,HealthNuts: What's That Mean: Consent,Pediatrics,1,1
Video,Continuous Glucose Monitoring,Continuous Glucose Monitoring,Pediatrics,1,1
Video,CT (Computed Tomography) Scanner,CT (Computed Tomography) Scanner,Pediatrics,1,1
Video,CT Scans,HealthNuts: What's That Mean: CT Scans,Pediatrics,1,1
Video,D is for Diabetes,HealthNuts: D is for Diabetes,Pediatrics,1,1
Video,Diabetes Control,HealthNuts: Understanding Diabetes Control,Pediatrics,1,1
Video,Diabetes Control,Diabetes Control,Pediatrics,1,1
Video,Diabetes Treatment,Diabetes Treatment,Pediatrics,1,1
Video,Diabetic Ketoacidosis,Diabetic Ketoacidosis,Pediatrics,1,1
Video,Diagnosis,HealthNuts: Diagnosis,Pediatrics,1,1
Video,Diagnosis for Asthma,HealthNuts: What's That Mean: Diagnosis,Pediatrics,1,1
Video,Dialysis Machine,Dialysis Machine,Pediatrics,1,1
Video,Diarrhea,HealthNuts: What's That Mean: Diarrhea,Pediatrics,1,1
Video,Distractions (from Pain),Distractions (from Pain),Pediatrics,1,1
Video,Don't You Dare Eat That!,HealthNuts: What are NPO Instructions? (Don't You Dare Eat That!),Pediatrics,1,1
Video,Dry Powder Inhaler (DPI),Dry Powder Inhaler (DPI),Pediatrics,1,1
Video,E is for Epilepsy,HealthNuts: E is for Epilepsy,Pediatrics,1,1
Video,Ear Tubes,Ear Tubes,Pediatrics,1,1
Video,Eating and Exercise to Keep Diabetes Under Control,HealthNuts: Eating & Exercise,Pediatrics,1,1
Video,EEG (Electroencephalography),EEG (Electroencephalography),Pediatrics,1,1
Video,EEG / Electroencephalography,HealthNuts: What's That Mean: EEG / Electroencephalography,Pediatrics,1,1
Video,EEGs,HealthNuts: EEGs,Pediatrics,1,1
Video,EKG (Electrocardiogram),EKG (Electrocardiogram),Pediatrics,1,1
Video,Electrodes,HealthNuts: What's That Mean: Electrode,,1,1
Video,Emesis Basin,Emesis Basin,,1,1
Video,Endotracheal Tube,Endotracheal Tube,,1,1
Video,Epilepsy,HealthNuts: What's That Mean: Epilepsy,,1,1
Video,Examination for Asthma,HealthNuts: The Examination,,1,1
Video,"Exercise, Sports, and Warfarin","Exercise, Sports, and Warfarin",,1,1
Video,F is for Fractures,HealthNuts: F is for Fractures,,1,1
Video,Feeding Tube,Feeding Tube,,1,1
Video,Foley Catheter,Foley Catheter,,1,1
Video,Food Labels for Diabetics,Food Labels for Diabetics,,1,1
Video,Foods to Avoid with Taking Warfarin,Foods to Avoid with Taking Warfarin,,1,1
Video,Free Foods (for Diabetes),Free Foods (for Diabetes),,1,1
Video,G is for Germs,HealthNuts: G is for Germs,,1,1
Video,G Tube,G Tube,,1,1
Video,Gastroenteritis,HealthNuts: What's That Mean: Gastroenteritis,,1,1
Video,Generalized Seizure,HealthNuts: What's That Mean: Generalized Seizure,,1,1
Video,Germs,HealthNuts: What's That Mean: Germs,,1,1
Video,G-J Tube,G-J Tube,,1,1
Video,Glucose,HealthNuts: What's That Mean: Glucose,,1,1
Video,Good and Bad Numbers (for Diabetes),Good and Bad Numbers (for Diabetes),,1,1
Video,Greenstick Fracture,HealthNuts: What's That Mean: Greenstick Fracture,,1,1
Video,Growth Plate,HealthNuts: What's That Mean: Growth Plate,,1,1
Video,Guilt-Free Snacking (for Diabetes),Guilt-Free Snacking (for Diabetes),Pediatrics,1,1
Video,H is for Hyperglycemia,HealthNuts: H is for Hyperglycemia,Pediatrics,1,1
Video,Halo,Halo,,1,1
Video,Hemoglobin A1c,Hemoglobin A1c,,1,1
Video,Hickman,Hickman,Pediatrics,1,1
Video,Hickman,HealthNuts: What's That Mean: Hickman,,1,1
Video,Home Care for Bronchiolitis,Home Care for Bronchiolitis,,1,1
Video,How Asthma Medicines are Taken,HealthNuts: How Asthma Medicines Are Taken,,1,1
Video,How to Handle Your Pain,How to Handle Your Pain,,1,1
Video,How to Use Your Dry Powder Inhaler (DPI),How to Use Your Dry Powder Inhaler (DPI),,1,1
Video,How to Use Your MDI with a Mask and Spacer,How to Use Your MDI with a Mask and Spacer,,1,1
Video,How to Use Your MDI with a Spacer,How to Use Your MDI with a Spacer,,1,1
Video,Hyperglycemia,HealthNuts: What's That Mean: Hyperglycemia,,1,1
Video,Hypoglycemia,HealthNuts: What's That Mean: Hypoglycemia,,1,1
Video,I is for Insulin,HealthNuts: I is for Insulin,,1,1
Video,ID Bracelet,HealthNuts: What's That Mean: ID Bracelet,,1,1
Video,ID Bracelet,ID Bracelet,Pediatrics,1,1
Video,Incentive Spirometer,HealthNuts: What's That Mean: Incentive Spirometer,,1,1
Video,Influenza,HealthNuts: What's That Mean: Influenza,,1,1
Video,Inhalation Medications,HealthNuts: What's That Mean: Inhalation Medications,,1,1
Video,Inhaler/MDI,Inhaler/MDI,,1,1
Video,Injection Medications,HealthNuts: What's That Mean: Injection Medications,,1,1
Video,INR,INR,,1,1
Video,INR Goal Range,INR Goal Range,,1,1
Video,Insulin,HealthNuts: What's That Mean: Insulin,,1,1
Video,Intravenous (I.V.),HealthNuts: What's That Mean: Intravenous (IV),,1,1
Video,Intro to Asthma,HealthNuts: Intro to Asthma,,1,1
Video,IV,HealthNuts: What's That Mean: IV,,1,1
Video,"IV (IV Poles, IV Bags, IV Tubes)","IV (IV Poles, IV Bags, IV Tubes)",,1,1
Video,J is for Juvenile Diabetes,HealthNuts: J is for Juvenile Diabetes,,1,1
Video,K is for Keep it Clean,HealthNuts: K is for Keep it Clean,,1,1
Video,L is for Low Blood Sugar,HealthNuts: L is for Low Blood Sugar,,1,1
Video,Leftover Medicine,Leftover Medicine,,1,1
Video,Leukemia,HealthNuts: What's That Mean: Leukemias,,1,1
Video,Life with Diabetes,HealthNuts: Life with Diabetes,,1,1
Video,Log-Journal,Log-Journal,,1,1
Video,Lumbar,HealthNuts: What's That Mean: Lumbar,,1,1
Video,Lumbar Puncture / LP / Spinal Tap,HealthNuts: What's That Mean: Lumbar Puncture / LP / Spinal Tap,,1,1
Video,Lumbar Punctures,HealthNuts: Lumbar Punctures,,1,1
Video,Lungs,HealthNuts: What's That Mean: Lungs,,1,1
Video,M is for Maintenance Medicine,HealthNuts: M is for Maintenance Medicine,,1,1
Video,Medical Images,HealthNuts: What's That Mean: Medical Images,,1,1
Video,Medicines to Avoid When Taking Warfarin,Medicines to Avoid When Taking Warfarin,,1,1
Video,Metered Dose Inhaler,HealthNuts: What's That Mean: Metered Dose Inhaler,,1,1
Video,MRI (Magnetic Resonance Imaging) Scanner,MRI (Magnetic Resonance Imaging) Scanner,,1,1
Video,MRIs,HealthNuts: What's That Mean: MRIs,,1,1
Video,My Hospital Stay,HealthNuts: My Hospital Stay,,1,1
Video,N is for Nebulizers,HealthNuts: N is for Nebulizers,,1,1
Video,Nasal Cannula,Nasal Cannula,,1,1
Video,Nasogastric Tube / NG Tube,HealthNuts: What's That Mean: Nasogastric Tube / NG Tube,,1,1
Video,Nebulizer,HealthNuts: What's That Mean: Nebulizer,,1,1
Video,Nebulizer,Nebulizer,Pediatrics,1,1
Video,Needle,Needle,,1,1
Video,Nervous System,HealthNuts: What's That Mean: Nervous System,,1,1
Video,Neurons,HealthNuts: What's That Mean: Neurons,,1,1
Video,NG (Nasogastric) Tube,NG (Nasogastric) Tube,,1,1
Video,NG Tube Insertion,HealthNuts: NG Tube Insertion,,1,1
Video,"Non-Displaced Fracture, Displaced Fracture",HealthNuts: What's That Mean: Displaced / Non-Displaced Fractures,,1,1
Video,NPO,HealthNuts: What's That Mean: NPO,,1,1
Video,Numbing Cream,HealthNuts: What's That Mean: Numbing Cream,,1,1
Video,Nurse Call Button,Nurse Call Button,,1,1
Video,O is for Organs,HealthNuts: O is for Organs,,1,1
Video,Operating Room,HealthNuts: What's That Mean: Operating Room,,1,1
Video,Ophthalmoscope,Ophthalmoscope,,1,1
Video,Oral Medications,HealthNuts: What's That Mean: Oral Medications,,1,1
Video,Organs,HealthNuts: What's That Mean: Organs,,1,1
Video,Otoscope,Otoscope,,1,1
Video,Oxygen Mask,Oxygen Mask,,1,1
Video,P is for Pneumonia,HealthNuts: P is for Pneumonia,,1,1
Video,Pain Signals,HealthNuts: What's That Mean: Pain Signals,,1,1
Video,Pancreas,HealthNuts: What's That Mean: Pancreas,,1,1
Video,Partial Seizure,HealthNuts: What's That Mean: Partial Seizure,,1,1
Video,Patient Safety,HealthNuts: Patient Safety,,1,1
Video,Pedialyte,HealthNuts: What's That Mean: Pedialyte,,1,1
Video,Phlegm / Mucus,HealthNuts: What's That Mean: Phlegm / Mucus,,1,1
Video,PICC,HealthNuts: What's That Mean: PICC,,1,1
Video,PICC,PICC,Pediatrics,1,1
Video,"PICCs, Ports & Hickmans",HealthNuts: PICCs Ports & Hickmans,,1,1
Video,Pleural Space,HealthNuts: What's That Mean: Pleural Space,,1,1
Video,Pneumonia,HealthNuts: What's That Mean: Pneumonia,,1,1
Video,Pollen,HealthNuts: What's That Mean: Pollen,,1,1
Video,Port,HealthNuts: What's That Mean: Port,,1,1
Video,Port,Port,Pediatrics,1,1
Video,Postoperative Infections,HealthNuts: What's That Mean: Postoperative Infections,,1,1
Video,Postural Drainage,HealthNuts: What's That Mean: Postural Drainage,,1,1
Video,Priming a Metered Dose Inhaler (MDI),Priming a Metered Dose Inhaler (MDI),,1,1
Video,Procedural Sedation,HealthNuts: Procedural Sedation,,1,1
Video,Procedure,HealthNuts: What's That Mean: Procedure,,1,1
Video,Procedure Team,HealthNuts: What's That Mean: Procedure Team,,1,1
Video,Pulse Ox,HealthNuts: What's That Mean: Pulse Ox,,1,1
Video,Pulse Ox (Pulse Oximetry),Pulse Ox (Pulse Oximetry),,1,1
